"id","name"
3407,"латунь/хром, сплав цинка"
3408,"латунь/кожа, сплав цинка/кожа"
3409,"латунь с покрытием софт-тач/хром"
3410,"латунь/хром"
3411,"металл/PU, латунь с покрытием софт-тач/хром"
3412,"металл/поликарбонат, латунь/лак/хром"
3413,"латунь/лак/хром"
3414,"полиэстер/стекловолокно"
3415,"полиэстер/алюминий"
3416,"синтетика"
3417,"латунь с покрытием софт-тач"
3418,"латунь/хром, PU"
3419,"латунь с покрытием софт-тач, PU"
3420,"кожа, латунь/хром"
3421,"латунь/лак/хром, PU"
3422,"кожа, латунь/лак/хром"
3423,"сплав цинка/кожа, латунь/кожа"
3424,"кожа, латунь/кожа"
3425,"сталь/кожа"
3426,"латунь/лак"
3427,"латунь/лак/PU"
3428,"латунь/хром/PU"
3429,"сплав цинка, латунь/лак"
3430,"PU, латунь/хром/PU"
3431,"PU, латунь/лак"
3432,"латунь, PU, латунь/лак"
3433,"латунь, латунь/хром/PU"
3434,"кожа, латунь/лак"
3435,"PU, латунь/лак/PU"
3436,"латунь/лак/хром/PU"
3437,"сталь/кожа, латунь/лак"
3438,"сплав цинка, латунь/хром"
3439,"латунь, PU"
3440,"латунь, латунь/лак"
3441,"полиэстер 1480D, добби"
3442,"полиэстер M2"
3443,"ткань Grey Heather, полиэстер 600D PU"
3444,"полиэстер 1200D PU"
3445,"полиэстер М2"
3446,"полиэстер 900D, рипстоп"
3447,"фьюжн, 2 мм рипстоп"
3448,"полиэстер 900D/М2, добби"
3449,"полиэстер 900D, хонейкомб"
3450,"полиэстер 600D/2 мм, рипстоп, фьюжн"
3451,"полиэстер 600D PU"
3452,"ткань Grey Heather, полиэстер 900D PU"
3453,"полиэстер 1680D"
3454,"полиэстер 900D/600D, искусственная кожа"
